# version=2025NOV01

Rom;Genre;Year;Manufacturer;System;Clone;AKNF;Buttons;Controls;Mature;Players;Monitor;Slow;Notes
acommand;Electromechanical / Misc.;1990;Jaleco;Jaleco Z80;no;;;;;???;CRT 15Khz;;
acpsx;;1995;Acclaim;Sony ZN;no;;;;;BIOS;CRT 31Khz;;
acrobatm;Shooter / Flying Vertical;1991;UPL (Taito license);NMK 68000;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
actfanc1;;1989;Data East Corporation;Data East 68000;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
actfancj;;1989;Data East Corporation;Data East 68000;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
actfancr;Platform / Shooter Scrolling;1989;Data East Corporation;Data East 68000;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
actionhw;Maze / Change Surface;1995;TCH;TCH Top Drive;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
ad2083;Shooter / Field;1983;Midcoin;Konami Scramble;no;;1;joystick (8-way);;2P alt;CRT 15Khz;;
aerfboot;Shooter / Flying Vertical;1992;bootleg;Video System 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aeroboto;Shooter / Misc. Horizontal;1984;[Jaleco] (Williams license);Jaleco Z80;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
aerofgt;Shooter / Flying Vertical;1992;Video System Co.;Video System 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aerofgtb;Shooter / Flying Vertical;1992;Video System Co.;Video System 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aerofgtc;Shooter / Flying Vertical;1992;Video System Co.;Video System 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
afighter;Shooter / Misc. Vertical;1986;Sega;Sega System 16A;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
afire;Shooter / Gallery;1979;Rene Pierre;Data East 8-bit;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
agallet;Shooter / Flying Vertical;1996;Banpresto / Gazelle;Atlus 68000;no;true;3;joystick (8-way);;2P sim;CRT 15Khz;;
agress;Puzzle / Sliding;1991;Palco;Technos 68000;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
agressb;Puzzle / Sliding;2003;Palco;Technos 68000;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
ainferno;Shooter / Flying 1st Person;1990;Taito America Corporation;Taito Air System;no;;7;joystick (analog);;1P;CRT 31Khz;;
airattck;Shooter / Flying Vertical;1996;Comad;NMK 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
airbustj;;1990;Kaneko (Namco license);Kaneko 68000;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
airbustr;Shooter / Flying Horizontal;1990;Kaneko (Namco license);Kaneko 68000;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
airco22b;Shooter / Flying (chase view);1995;Namco;Namco System 22;no;;5;joystick (analog);;1P;CRT 31Khz;;
aircombj;Shooter / Flying (chase view);1992;Namco;Namco System 21;no;;6;joystick (analog);;1P;CRT 31Khz;;
aircombu;;1992;Namco;Namco System 21;yes;;6;joystick (analog);;1P;CRT 31Khz;;
airduel;Shooter / Flying Vertical;1990;Irem;Irem M72;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
airraid;Shooter / Flying Vertical;1987;Seibu Kaihatsu;Seibu Z80;yes;;2;joystick (8-way);;???;CRT 15Khz;;
airwolf;Shooter / Flying Horizontal;1987;Kyugo;Kyugo Z80;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
ajax;Shooter / Flying Vertical;1987;Konami;Konami;no;;3;joystick (8-way);;2P alt;CRT 15Khz;;
ajaxj;Shooter / Flying Vertical;1987;Konami;Konami;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
akiss;Tabletop / Mahjong * Mature *;1995;Jaleco;Jaleco Mega System 32;no;;;;;1P;CRT 15Khz;;
akkanvdr;Shooter / Gallery;1995;Taito Corporation;Taito F3 System;yes;;4;dial;;2P sim;CRT 15Khz;;
aladmdb;Platform / Fighter Scrolling;1993;bootleg / Sega;Sega Mega Drive-based;no;;3;joystick (8-way);;1P;CRT 15Khz;;
alcon;Shooter / Flying Vertical;1986;Taito America Corp.;Toaplan 68000;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
alexkid1;;1986;Sega;Sega System 16A;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
alexkidd;Platform / Run, Jump & Scrolling;1986;Sega;Sega System 16A;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
alibaba;Maze / Collect;1982;Sega;Namco Pac-Man;no;;1;joystick (4-way);;2P alt;CRT 15Khz;;
alien3;Shooter / Gun;1993;Sega;Sega System 32;no;true;2;lightgun;;2P sim;CRT 15Khz;;
alien3u;Shooter / Gun;1993;Sega;Sega System 32;yes;;2;lightgun;;2P sim;CRT 15Khz;;
alienar;Maze / Collect;1985;Duncan Brown;Williams arcade hardware;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
alienaru;Maze / Collect;1985;Duncan Brown;Williams arcade hardware;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
alieninv;Shooter / Gallery;;bootleg;Midway 8080 B/W;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
aliens;Platform / Shooter Scrolling;1990;Konami;Konami;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
aliens2;Platform / Shooter Scrolling;1990;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aliens3;Platform / Shooter Scrolling;1990;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aliensj;Platform / Shooter Scrolling;1990;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aliensj2;Platform / Shooter Scrolling;1990;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aliensu;Platform / Shooter Scrolling;1990;Konami;Konami;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aliensy1;;1987;Sega;Sega System 16A;yes;;1;joystick (8-way);;2P sim;CRT 15Khz;;
aliensy2;;1987;Sega;Sega System 16A;yes;;1;joystick (8-way);;2P sim;CRT 15Khz;;
aliensy3;;1987;Sega;Sega System 16B;yes;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aliensyn;Maze / Shooter Large;1987;Sega;Sega System 16B;no;true;2;joystick (8-way);;2P sim;CRT 15Khz;;
aligator;Shooter / 3rd Person;1994;Gaelco;Gaelco 2nd Gen;no;;3;joystick (8-way);;2P sim;CRT 15Khz;;
aligatun;;1994;Gaelco;Gaelco 2nd Gen;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
alleymas;Sports / Bowling;1986;Cinematronics;Leland;no;;2;joystick (analog);;2P alt;CRT 15Khz;;
alphaho;MultiGame / Compilation;;Data East Corporation;Sega Vic Dual;no;;2;joystick (4-way);;2P alt;CRT 15Khz;;
alpham2;Shooter / Flying Vertical;1991;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
alphamis;Shooter / Flying Vertical;1985;SNK;SNK early 8-bit;yes;;3;joystick (8-way);;2P alt;CRT 15Khz;;
alphaona;;1983;Atari;Atari Vector;yes;;1;dial;;1P;;;
alphaone;Shooter / Misc.;1983;Atari;Atari Vector;yes;;1;dial;;1P;;;
alphaxz;Shooter / Flying Vertical;1986;Ed / Woodplace Inc.;Taito 8-bit;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
alpine;Sports / Skiing;1982;Taito Corporation;Taito SJ;no;true;1;joystick (2-way);;2P alt;CRT 15Khz;;
alpinea;Sports / Skiing;1982;Taito Corporation;Taito SJ;yes;;1;joystick (2-way);;2P alt;CRT 15Khz;;
alpinerc;Sports / Skiing;1995;Namco;Namco System 22;yes;;3;joystick (analog);;1P;CRT 31Khz;;
alpinerd;Sports / Skiing;1995;Namco;Namco System 22;no;;3;joystick (analog);;1P;CRT 31Khz;;
alpinesa;;1996;Namco;Namco System 22;no;;3;joystick (analog);;1P;CRT 31Khz;;
alpinr2b;Sports / Skiing;1996;Namco;Namco System 22;no;;3;joystick (analog);;1P;CRT 31Khz;;
altbeaj1;;1988;Sega;Sega System 16B;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
altbeaj3;;1988;Sega;Sega System 16B;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
altbeas2;;1988;Sega;Sega System 16B;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
altbeas4;;1988;Sega;Sega System 16B;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
altbeas5;;1988;Sega;Sega System 16B;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
altbeasj;;1988;Sega;Sega System 16B;yes;;3;joystick (8-way);;2P sim;CRT 15Khz;;
altbeast;Platform / Fighter Scrolling;1988;Sega;Sega System 16B;no;true;3;joystick (8-way);;2P sim;CRT 15Khz;;
amatelas;Shooter / Walking;1986;Nichibutsu;Nichibutsu Z80;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
amazon;Shooter / Walking;1986;Nichibutsu;Nichibutsu Z80;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
ambush;Shooter / Flying (chase view);1983;Nippon Amuse Co-Ltd;Tecfri Z80;no;;2;joystick (8-way);;2P alt;CRT 15Khz;;
ambusht;;1983;Tecfri;Tecfri Z80;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
ambushv;Shooter / Flying (chase view);1983;Volt Elec co-ltd;Tecfri Z80;yes;;2;joystick (8-way);;2P alt;CRT 15Khz;;
amerdar2;;1989;Ameri;Custom gambling hardware;yes;;1;trackball;;4P alt;CRT 15Khz;;
amerdart;Sports / Darts;1989;Ameri;Custom gambling hardware;no;;1;trackball;;4P alt;CRT 15Khz;;
amidar;Maze / Outline;1981;Konami;Galaxian Z80;no;true;1;joystick (4-way);;2P alt;CRT 15Khz;;
amidarb;Maze / Outline;1982;bootleg;Galaxian Z80;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
amidaro;Maze / Outline;1982;Konami (Olympia license);Galaxian Z80;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
amidars;Maze / Outline;1982;Konami;Konami Scramble;yes;;2;joystick (4-way);;2P alt;CRT 15Khz;;
amidaru;Maze / Outline;1982;Konami (Stern license);Galaxian Z80;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
amigo;Maze / Outline;1982;bootleg;Galaxian Z80;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
ampoker2;Gambling / Cards;;Novomatic;Custom gambling Z80;no;;;;;1P;CRT 15Khz;;
ampokr2a;;;Novomatic;Custom gambling Z80;yes;;;;;???;CRT 15Khz;;
ampokr2b;;;Novomatic;Custom gambling Z80;yes;;;;;???;CRT 15Khz;;
ampokr2c;;;Novomatic;Custom gambling Z80;yes;;;;;???;CRT 15Khz;;
amspdwy;Driving / Race Track;1987;Enerdyne Technologies, Inc.;Custom gambling Z80;no;;1;dial;;2P sim;CRT 15Khz;;
amspdwya;Driving / Race Track;1987;Enerdyne Technologies, Inc.;Custom gambling Z80;yes;;1;dial;;2P sim;CRT 15Khz;;
androdun;Shooter / Flying Horizontal;1992;Visco;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
andromed;Shooter / Gallery;1979;Irem;Irem M10;no;;1;joystick (2-way);;2P alt;CRT 15Khz;;
angelkds;Climbing / Tree - Plant;1988;Sega / Nasco?;Sega System 1;no;;;double joystick (8-way);;2P alt;CRT 15Khz;;
animaljr;Whac-A-Mole / Hammer;1993;Nakanihon + East Technology (Taito license);Dynax Mahjong;no;;;;;2P alt;CRT 15Khz;;
anteater;Maze / Collect;1982;[Stern] (Tago license);Galaxian Z80;no;true;1;joystick (4-way);;2P alt;CRT 15Khz;;
anteatg;;1983;TV-Tuning 2000 (F.E.G. license);Galaxian Z80;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
anteatgb;;1983;Free Enterprise Games;Galaxian Z80;yes;;1;joystick (4-way);;2P alt;CRT 15Khz;;
aodk;Fighter / Versus;1994;ADK / SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
aof;Fighter / Versus;1992;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
aof2;Fighter / Versus;1994;SNK;SNK Neo Geo;no;;4;joystick (8-way);;2P sim;CRT 15Khz;;
aof2a;Fighter / Versus;1994;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
aof3;Fighter / Versus;1996;SNK;SNK Neo Geo;no;true;4;joystick (8-way);;2P sim;CRT 15Khz;;
aof3k;Fighter / Versus;1996;SNK;SNK Neo Geo;yes;;4;joystick (8-way);;2P sim;CRT 15Khz;;
apache3;Shooter / Flying (chase view);1988;Tatsumi;Tatsumi 68000;no;;3;joystick (analog);;1P;CRT 15Khz;;
apb;Driving / Misc.;1987;Atari Games;Atari System 2;no;;3;dial;;1P;CRT 25Khz;;
apb1;Driving / Misc.;1987;Atari Games;Atari System 2;yes;;3;dial;;1P;CRT 25Khz;;
apb2;Driving / Misc.;1987;Atari Games;Atari System 2;yes;;3;dial;;1P;CRT 25Khz;;
apb3;Driving / Misc.;1987;Atari Games;Atari System 2;yes;;3;dial;;1P;CRT 25Khz;;
apb4;Driving / Misc.;1987;Atari Games;Atari System 2;yes;;3;dial;;1P;CRT 25Khz;;
apb5;Driving / Misc.;1987;Atari Games;Atari System 2;yes;;3;dial;;1P;CRT 25Khz;;
apb6;Driving / Misc.;1987;Atari Games;Atari System 2;yes;;3;dial;;1P;CRT 25Khz;;
apbf;Driving / Misc.;1987;Atari Games;Atari System 2;yes;;3;dial;;1P;CRT 25Khz;;
apbg;Driving / Misc.;1987;Atari Games;Atari System 2;yes;;3;dial;;1P;CRT 25Khz;;
aponow;Shooter / Flying;1982;bootleg;Galaxian Z80;yes;;1;double joystick (8-way);;2P alt;CRT 15Khz;;
apparel;Tabletop / Mahjong * Mature *;1986;Central Denshi;Nichibutsu Mahjong;no;;;;;1P;CRT 15Khz;;
appoooh;Sports / Wrestling;1984;[Sanritsu] Sega;Sanritsu Z80;no;;3;joystick (8-way);;2P alt;CRT 15Khz;;
aquajack;Shooter / Driving (chase view);1990;Taito Corporation Japan;Taito Z-System;no;true;4;dial;;1P;CRT 15Khz;;
aquajckj;;1990;Taito Corporation;Taito Z-System;yes;;4;dial;;1P;CRT 15Khz;;
aquario;;2021;Sega / Westone;Sega System 18;no;;3;joystick (8-way);;;;;
aquarium;Puzzle / Drop;1996;Excellent System;Excellent System 68000;no;;2;joystick (8-way);;2P sim;CRT 15Khz;;
aquarush;Puzzle / Drop;1999;Namco;Namco System 12;no;;6;joystick (8-way);;2P sim;CRT 31Khz;;
ar_airh;Sports / Misc.;1988;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P sim;CRT 31Khz;;
ar_bios;System / BIOS;1988;Arcadia Systems;Arcadia;no;;;;;BIOS;CRT 31Khz;;
ar_bowl;Sports / Bowling;1988;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P alt;CRT 31Khz;;
ar_dart;Sports / Darts;1987;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P alt;CRT 31Khz;;
ar_fast;Sports / Basketball;1988;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P sim;CRT 31Khz;;
ar_ldrb;Sports / Golf;1988;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P alt;CRT 31Khz;;
ar_ldrba;Sports / Golf;1988;Arcadia Systems;Arcadia;yes;;2;joystick (8-way);;2P alt;CRT 31Khz;;
ar_ninj;Fighter / 2D;1987;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;1P;CRT 31Khz;;
ar_rdwr;Shooter / Driving (chase view);1988;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P sim;CRT 31Khz;;
ar_sdwr;Shooter / Flying Vertical;1988;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P alt;CRT 31Khz;;
ar_socc;Sports / Soccer;1989;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P sim;CRT 31Khz;;
ar_spot;Tabletop / Misc.;1990;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P alt;CRT 31Khz;YES;
ar_sprg;Shooter / Flying Horizontal;1987;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P alt;CRT 31Khz;;
ar_xeon;Shooter / Misc. Vertical;1988;Arcadia Systems;Arcadia;no;;2;joystick (8-way);;2P alt;CRT 31Khz;;
arabfgt;Fighter / 2.5D;1992;Sega;Sega System 32;no;true;2;joystick (8-way);;4P sim;CRT 15Khz;;
arabfgtj;Fighter / 2.5D;1992;Sega;Sega System 32;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
arabfgtu;Fighter / 2.5D;1992;Sega;Sega System 32;yes;;2;joystick (8-way);;4P sim;CRT 15Khz;;
arabiamj;;1992;Taito Corporation;Taito F3 System;yes;;4;dial;;4P sim;CRT 15Khz;;
